name,credentials,specialties,street,city,state,zip,phone,accepting_new_patients,languages,hospital_affiliations,source,scraped_at
"Dr. Sahadat Nurudeen, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.686992
"Dr. Emily Seidler, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.679367
"Dr. Natalie Stentz, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.671761
"Dr. Samuel Tarantino, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.664123
"Dr. Walid Saleh, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.655493
"Dr. Joshua Hurwitz, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.648238
"Dr. Kathleen Doody, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.638935
"Dr. Craig Witz, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.631456
"Dr. Anna Nackley, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.622360
"Dr. Rachel Gerber, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.613859
"Dr. Marcus Jurema, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.605372
"Dr. Betsy McCormick, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.595041
"Dr. Jason Griffith, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.586592
"Dr. Matthew McIntyre, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.578655
"Dr. Timothy Yeko, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.570953
"Dr. Mark Amols, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.562219
"Dr. Christine Mansfield, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.553912
"Dr. Clarissa Mashchak, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.545631
"Dr. Michael Glassner, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.536506
"Dr. Laura Londra, MD",,Reproductive Endocrinology,,,,,,Unknown,,,healthgrades,2026-05-15T06:15:30.526891
"Dr. Yaron Elad, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.156447
"Dr. Eric Buch, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.150773
"Dr. Anna Milstein, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.144658
"Dr. Norman Lepor, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.138207
"Dr. Ronald Karlsberg, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.131611
"Dr. Michael Broukhim, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.125586
"Dr. Payam Yashar, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.119771
"Dr. Kamran Shamsa, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.113824
"Dr. Arnold Baas, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.107670
"Dr. Mark Urman, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:55.100910
"Dr. Harry Glassman, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.405554
"Dr. Khawar Siddique, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.399633
"Dr. Samia Boctor, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.381821
"Dr. Taylor Docter, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.376317
"Dr. Noelle Boctor, MD",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.364335
"Andrea Doctor, LCSW",,,,,,,,Unknown,,,healthgrades,2026-05-15T06:05:04.358590
